,github_user_cleaned_url,archived,created_at,has_wiki,has_pages
0,JZhao12/CVML-Pose,False,2023-02-10 01:03:13,True,False
1,CVML-UCLan/FCBFormer,False,2022-08-08 16:07:28,True,False
2,eprintsug/loginViaOrcid,False,2016-08-23 17:36:27,True,False
3,eprintsug/orcidt2,False,2014-12-16 11:13:16,True,False
4,alphapsa/PIPE,False,2021-03-09 00:26:48,True,False
5,SamirNepal/Li_CNN_2022,False,2022-12-26 12:57:36,True,False
6,jlillo/tpfplotter,False,2020-02-02 21:31:02,True,False
9,brunomozza/IoTSecurityOntology,False,2015-06-20 18:16:20,True,False
10,Katerina-Pap/MA-cont-shiny-app,False,2021-03-09 16:35:03,True,False
11,survival-lumc/ValidationCompRisks,False,2021-02-17 09:12:11,True,False
13,lucaborsato/trades,False,2014-07-10 12:23:27,True,False
14,lphowell/Geothermal-Modelling,False,2020-05-19 09:48:31,True,False
16,epsilonlabs/emf-cbp,False,2016-10-20 13:10:54,True,False
17,s-goldman/Dusty-Evolved-Star-Kit,False,2018-05-14 18:40:23,False,False
18,rOpenHealth/ClinicalCodes,False,2013-11-01 10:33:27,True,False
19,sanket0707/GNN-Mixer,False,2023-03-21 01:05:23,True,False
20,NabajeetBarman/GamingHDRVideoSET,False,2021-01-26 10:06:22,True,False
21,stootaghaj/DEMI,False,2020-08-10 11:25:49,True,False
22,ok1zjf/lbae,False,2020-06-05 22:03:28,True,False
23,IraKorshunova/folk-rnn,False,2015-10-05 15:51:29,True,False
24,cs-chan/Deep-Plant,False,2017-04-24 04:20:36,True,False
26,rii-mango/Papaya,False,2012-06-17 22:20:58,True,True
27,tstafylakis/Lipreading-ResNet,False,2017-08-19 16:18:37,True,False
28,agentsoz/bdi-abm-integration,False,2016-01-25 01:23:50,True,False
29,WavEC-Offshore-Renewables/tokyo-wavec-fowt,False,2020-08-10 09:28:41,True,False
30,nilmtk/nilmtk,False,2013-12-03 11:39:12,True,False
31,TGMclustering/TGMclustering,False,2021-11-05 15:15:52,True,False
32,PRiME-project/PRiME-Framework,False,2018-06-06 12:42:24,True,False
33,fchirono/amiet_tools,False,2020-03-05 01:16:03,True,False
34,stain/profilechecker,False,2012-03-05 15:30:15,True,False
35,JAEarly/MILLI,False,2022-01-27 15:39:49,True,False
36,esbmc/esbmc,False,2015-06-20 19:35:34,True,True
37,intelaligent/tctb,False,2017-03-06 18:19:55,True,True
38,ecs-vlc/opponency,False,2019-10-10 12:34:35,True,False
39,ethanwharris/foveated-convolutions,False,2019-11-01 09:19:06,True,False
40,ilkaza/JPAL-HA,False,2022-01-21 20:02:52,True,False
41,MAMEM/GazeTheWeb,False,2016-03-03 07:12:47,True,True
42,UoS-EEC/INET-opportunistic-routing,False,2021-08-25 14:22:49,True,False
43,stuartemiddleton/glosat_table_dataset,False,2021-03-09 09:16:44,True,False
44,prov-suite/prov-sty,False,2015-05-01 11:08:21,True,False
45,r-barnes/dggridR,False,2016-07-08 16:05:10,True,False
46,mhinsch/RRGraphs_mini,False,2019-04-10 10:59:20,True,False
47,oreindt/routes-rumours-ml3,False,2018-09-28 13:01:17,True,False
48,facebookresearch/SentEval,False,2017-05-18 20:44:47,False,False
49,sebastianarnold/WikiSection,False,2019-01-14 10:50:09,False,False
50,eugenesiow/piotre,False,2016-07-05 12:31:27,True,False
51,abel-research/openlimb,False,2022-10-05 09:38:11,True,False
52,AshwathyTR/IDN-Sum,False,2022-05-15 15:27:18,True,False
53,HHousen/TransformerSum,False,2020-04-07 04:41:40,False,False
54,xgfd/ASPG,False,2016-02-29 17:40:09,True,True
55,WalterZWang/AlphaBuilding-MedOffice,False,2021-04-19 17:15:55,True,False
56,xiongbo010/QGCN,False,2022-09-23 21:07:33,True,False
57,andrewtarzia/cage_datasets,False,2019-02-13 12:27:49,True,False
58,yoqim/TBLD,False,2020-12-02 09:43:29,True,False
59,uos/mesh_navigation,False,2019-03-02 09:46:08,True,False
60,OctoMap/octomap,False,2012-12-18 11:04:51,True,True
61,introlab/rtabmap,False,2014-08-11 18:38:14,True,True
62,pbw20/SULISO_manuals,False,2016-05-13 14:01:25,True,False
63,fcbr/mmt,False,2011-06-23 17:44:22,True,False
64,ADAC-UoN/PIMMS,False,2014-12-03 13:33:24,True,False
65,AlexTS1980/COVID-Single-Shot-Model,False,2020-11-30 20:42:01,True,False
66,asolimando/logmap-conservativity,False,2016-05-01 09:11:23,True,False
67,philgooch/BADREX-Biomedical-Abbreviation-Expander,False,2012-05-11 09:51:02,True,False
