,github_user_cleaned_url,archived,created_at,has_wiki,has_pages,license,readme_size,readme_path,readme_emojis,contributing_size,citation_added,contributing_added,repo_created_at,week_since_repo_creation_citation_added,week_since_repo_creation_contributing_added,license_type,readme_size_class,forks_count,stars_count,max_active_contributors
65,fcampelo/epitopes,False,2023-04-13 09:52:49+00:00,True,False,None,1550.0,README.md,0.0,0.0,,,2023-04-13 09:52:49+00:00,,,None,informative,1,0,1.0
66,mozilla/TTS,False,2018-01-23 14:22:06+00:00,True,False,mpl-2.0,14293.0,README.md,15.0,1942.0,,2019-07-17 15:24:40+00:00,2018-01-23 14:22:06+00:00,,77.0,non-permissive,detailed,1067,7595,13.0
67,vangiel/WheresTheFellow,False,2020-04-28 21:24:36+00:00,True,False,None,159.0,README.md,0.0,0.0,,,2020-04-28 21:24:36+00:00,,,None,ultra-short,1,1,2.0
68,eghbal11/Eghbal,False,2020-06-10 12:37:34+00:00,True,False,None,0.0,,0.0,0.0,,,2020-06-10 12:37:34+00:00,,,None,none,0,0,1.0
69,fcampelo/MOEADr,False,2016-06-23 18:50:55+00:00,True,True,None,4033.0,README.md,0.0,0.0,,,2016-06-23 18:50:55+00:00,,,None,informative,6,14,2.0
70,DiUS/java-faker,False,2011-06-06 01:01:21+00:00,True,True,other,3407.0,README.md,0.0,902.0,,2019-07-20 02:35:12+00:00,2011-06-06 01:01:21+00:00,,423.0,unknown,informative,776,4184,9.0
71,mondo-project/mondo-hawk,True,2015-02-11 16:29:06+00:00,True,True,epl-2.0,2205.0,README.md,0.0,0.0,,,2015-02-11 16:29:06+00:00,,,non-permissive,informative,5,17,4.0
72,atlanmod/Mogwai,False,2015-02-03 15:07:23+00:00,True,True,None,3931.0,README.md,0.0,0.0,,,2015-02-03 15:07:23+00:00,,,None,informative,6,9,2.0
73,atlanmod/NeoEMF,False,2014-11-19 13:07:45+00:00,True,True,other,5564.0,README.adoc,0.0,0.0,,,2014-11-19 13:07:45+00:00,,,unknown,informative,17,46,6.0
74,quitadal/EPINETLAB,False,2017-10-03 14:38:17+00:00,True,False,gpl-3.0,2892.0,README.md,0.0,0.0,,,2017-10-03 14:38:17+00:00,,,permissive,informative,3,5,1.0
75,NeuroanatomyAndConnectivity/broca,False,2015-03-30 16:47:33+00:00,True,False,mit,25.0,README.md,0.0,0.0,,,2015-03-30 16:47:33+00:00,,,permissive,ultra-short,6,3,2.0
76,NeuroanatomyAndConnectivity/nki_nilearn,False,2016-05-26 17:09:58+00:00,True,False,None,256.0,README.md,0.0,0.0,,,2016-05-26 17:09:58+00:00,,,None,ultra-short,2,0,1.0
77,bernuly/VCSimulinkTlbx,False,2016-05-14 01:09:11+00:00,True,False,None,1612.0,README.md,1.0,0.0,,,2016-05-14 01:09:11+00:00,,,None,informative,0,1,1.0
78,BryanHunt/mongo-emf,False,2010-12-09 21:10:40+00:00,True,True,None,601.0,README.md,0.0,0.0,,,2010-12-09 21:10:40+00:00,,,None,short,7,38,1.0
79,kennethreitz/grequests,False,2012-05-10 21:50:15+00:00,True,False,bsd-2-clause,4078.0,README.rst,3.0,0.0,,,2012-05-10 21:50:15+00:00,,,permissive,informative,299,4259,4.0
80,lushv/geolabel-service,False,2013-08-11 23:27:25+00:00,True,False,None,946.0,README.md,0.0,0.0,,,2013-08-11 23:27:25+00:00,,,None,short,0,2,2.0
81,52North/GEO-label-java,False,2013-09-09 14:36:52+00:00,False,False,apache-2.0,7630.0,README.md,0.0,0.0,,,2013-09-09 14:36:52+00:00,,,permissive,informative,4,4,2.0
82,EPiCS/CamSim,False,2012-10-01 09:14:19+00:00,True,True,None,904.0,README.md,0.0,0.0,,,2012-10-01 09:14:19+00:00,,,None,short,5,5,2.0
83,masakhane-io/masakhane-news,False,2022-12-23 13:28:57+00:00,True,False,None,5449.0,README.md,0.0,0.0,,,2022-12-23 13:28:57+00:00,,,None,informative,7,8,3.0
84,zdai257/DeepAoANet,False,2021-05-06 14:28:45+00:00,True,False,None,2364.0,README.md,0.0,0.0,,,2021-05-06 14:28:45+00:00,,,None,informative,2,4,1.0
85,FlorianSteinberg/incone,False,2018-09-30 11:47:42+00:00,True,False,None,825.0,README.md,0.0,0.0,,,2018-09-30 11:47:42+00:00,,,None,short,2,1,1.0
86,google-research/bert,False,2018-10-25 22:57:34+00:00,True,False,apache-2.0,50519.0,README.md,0.0,1323.0,,2018-10-31 15:19:12+00:00,2018-10-25 22:57:34+00:00,,0.0,permissive,detailed,8912,34610,23.0
87,thunlp/OpenCLaP,False,2019-07-01 02:23:06+00:00,True,False,mit,3293.0,README.md,0.0,0.0,,,2019-07-01 02:23:06+00:00,,,permissive,informative,144,917,2.0
88,SigmaLabResearch/Gaze-Enabled-Histopathology,False,2022-02-01 12:29:12+00:00,True,False,gpl-3.0,161.0,README.md,0.0,0.0,,,2022-02-01 12:29:12+00:00,,,permissive,ultra-short,0,0,2.0
89,SigmaLabResearch/Visnotate,False,2022-02-01 19:44:17+00:00,True,False,gpl-3.0,3960.0,README.md,0.0,0.0,,,2022-02-01 19:44:17+00:00,,,permissive,informative,0,1,1.0
90,brunneis/ilab-erisk-2020,False,2020-06-22 11:58:14+00:00,True,False,gpl-3.0,154.0,README.md,0.0,0.0,,,2020-06-22 11:58:14+00:00,,,permissive,ultra-short,2,5,1.0
91,tharindudr/transquest,False,2020-03-12 17:10:17+00:00,True,True,apache-2.0,5119.0,README.md,0.0,0.0,,,2020-03-12 17:10:17+00:00,,,permissive,informative,13,92,1.0
92,ieee8023/covid-chestxray-dataset,False,2020-02-14 23:22:23+00:00,True,False,None,10616.0,README.md,2.0,0.0,,,2020-02-14 23:22:23+00:00,,,None,detailed,1263,2930,8.0
93,muellmusik/Utopia,False,2013-03-23 18:41:46+00:00,True,False,None,524.0,README.md,0.0,0.0,,,2013-03-23 18:41:46+00:00,,,None,short,8,37,2.0
94,supercollider/supercollider,False,2012-05-04 19:24:51+00:00,True,False,gpl-3.0,5619.0,README.md,0.0,117.0,,2017-06-27 18:42:42+00:00,2012-05-04 19:24:51+00:00,,268.0,permissive,informative,668,4807,24.0
95,supercollider-quarks/Republic,False,2014-11-30 15:45:35+00:00,True,False,gpl-2.0,0.0,,0.0,0.0,,,2014-11-30 15:45:35+00:00,,,permissive,none,3,1,2.0
96,gamesbyangelina/danesh,False,2015-12-11 11:43:35+00:00,True,False,None,188.0,README.md,0.0,0.0,,,2015-12-11 11:43:35+00:00,,,None,ultra-short,8,57,1.0
97,cylammarco/ASPIRED-example,False,2020-09-12 22:09:21+00:00,True,False,,,,,,,,,,,,,2,1,1.0
98,cylammarco/bhtomspec,False,2020-08-11 16:55:28+00:00,True,False,None,2027.0,README.md,0.0,0.0,,,2020-08-11 16:55:28+00:00,,,None,informative,0,0,1.0
99,P-R-McWhirter/pyOsiris,False,2020-10-20 13:49:32+00:00,True,False,None,121.0,README.md,0.0,0.0,,,2020-10-20 13:49:32+00:00,,,None,ultra-short,0,0,1.0
100,kecskemeti/dissect-cf,False,2014-01-09 11:58:10+00:00,True,True,lgpl-3.0,6458.0,README.md,0.0,0.0,,,2014-01-09 11:58:10+00:00,,,non-permissive,informative,40,5,2.0
101,morriscb/The-wiZZ,False,2016-02-14 16:14:26+00:00,True,False,other,2660.0,README.md,0.0,0.0,,,2016-02-14 16:14:26+00:00,,,unknown,informative,5,7,2.0
102,sjoudaki/cfhtlens_revisited,False,2016-01-21 22:52:51+00:00,True,False,None,964.0,README.md,0.0,0.0,,,2016-01-21 22:52:51+00:00,,,None,short,0,2,1.0
103,vraj004/RyR-simulator,False,2013-04-24 15:26:01+00:00,True,False,None,3423.0,README.md,0.0,0.0,,,2013-04-24 15:26:01+00:00,,,None,informative,2,1,2.0
104,ziqizhang/sti,False,2015-04-22 09:15:29+00:00,True,False,None,5295.0,README.md,0.0,0.0,,,2015-04-22 09:15:29+00:00,,,None,informative,8,19,1.0
