title,author_for_reference,pdf_url,page_no,domain_url,pattern_cleaned_url,github_user_cleaned_url
Neurobiologically Based Stratification of Recent Onset Depression and Psychosis: Identification of Two Distinct Transdiagnostic Phenotypes,Paris Alexandros Lalousis,https://publications.aston.ac.uk/id/eprint/43710/1/1_s2.0_S0006322322011568_main.pdf,9,https://github.com/anbai106/pyHYDRA),github.com/anbai106/pyHYDRA,anbai106/pyHYDRA
Neurobiologically Based Stratification of Recent Onset Depression and Psychosis: Identification of Two Distinct Transdiagnostic Phenotypes,Paris Alexandros Lalousis,https://publications.aston.ac.uk/id/eprint/43710/1/1_s2.0_S0006322322011568_main.pdf,10,https://github.com/Jfortin1/ComBatHarmonization).,github.com/Jfortin1/ComBatHarmonization,Jfortin1/ComBatHarmonization
cyberaCTIve: a STIX-based Tool for Cyber Threat Intelligence in Complex Models,Ricardo M. Czekster,https://publications.aston.ac.uk/id/eprint/43716/1/2204.03676.pdf,2,https://github.com/STIX-Modeler/UI.,github.com/STIX-Modeler/UI,STIX-Modeler/UI
"Global Community Guidelines for Documenting, Sharing, and Reusing Quality Information of Individual Digital Datasets",Ge Peng,https://publications.aston.ac.uk/id/eprint/43583/6/1423_10305_1_PB.pdf,17,https://github.com/AtMoDat/maturity-indicator.,github.com/AtMoDat/maturity-indicator,AtMoDat/maturity-indicator
Consent Receipts For a Usable And Auditable Web of Personal Data,Vitor Jesus,https://publications.aston.ac.uk/id/eprint/43636/1/Consent_Receipts_for_a_Usable_and_Auditable_Web_of_Personal_Data.pdf,6,https://github.com/EBISPOT/DUO,github.com/EBISPOT/DUO,EBISPOT/DUO
Fruit quality and defect image classification with conditional GAN data augmentation,Jordan J. Bird,https://publications.aston.ac.uk/id/eprint/43259/1/2104.05647.pdf,1,https://github.com/jordan-bird/synthetic-fruit-image-generator,github.com/jordan-bird/synthetic-fruit-image-generator,jordan-bird/synthetic-fruit-image-generator
Fruit quality and defect image classification with conditional GAN data augmentation,Jordan J. Bird,https://publications.aston.ac.uk/id/eprint/43259/1/2104.05647.pdf,15,"https://github.com/softwaremill/lemon-dataset,",github.com/softwaremill/lemon-dataset,softwaremill/lemon-dataset
Investigating the effects of FoxO transcriptional activity on metabolic homeostasis,Lauren Rachel McDonagh,https://publications.aston.ac.uk/id/eprint/44225/1/MCDONAGH_LAUREN_RACHEL_2022.pdf,318,https://github.com/galaxyproject/tools-,github.com/galaxyproject/tools-,galaxyproject/tools-iuc
Organism-Specific Training Improves Performance of Linear B-Cell Epitope Prediction,Jodie Ashford,https://publications.aston.ac.uk/id/eprint/42868/6/btab536.pdf,0,https://github.com/fcampelo/OrgSpec-paper.,github.com/fcampelo/OrgSpec-paper,fcampelo/OrgSpec-paper
Organism-Specific Training Improves Performance of Linear B-Cell Epitope Prediction,Jodie Ashford,https://publications.aston.ac.uk/id/eprint/42868/6/btab536.pdf,0,https://github.com/fcampelo/epitopes.,github.com/fcampelo/epitopes,fcampelo/epitopes
A cross-technology benchmark for incremental graph queries,Georg Hinkel,https://publications.aston.ac.uk/id/eprint/43344/1/Hinkel2021_Article_ACross_technologyBenchmarkForI.pdf,22,https://github.com/TimelyDataﬂow/Naiad,github.com/TimelyDataflow/Naiad,TimelyDataflow/Naiad
A cross-technology benchmark for incremental graph queries,Georg Hinkel,https://publications.aston.ac.uk/id/eprint/43344/1/Hinkel2021_Article_ACross_technologyBenchmarkForI.pdf,22,https://github.com/TimelyDataﬂow/timely-dataﬂow.,github.com/TimelyDataflow/timely-dataflow,TimelyDataflow/timely-dataflow
A cross-technology benchmark for incremental graph queries,Georg Hinkel,https://publications.aston.ac.uk/id/eprint/43344/1/Hinkel2021_Article_ACross_technologyBenchmarkForI.pdf,22,https://github.com/TimelyDataﬂow/differential-dataﬂow.,github.com/TimelyDataflow/differential-dataflow,TimelyDataflow/differential-dataflow
Similarity Search over Network Structure,Fan Wang,https://publications.aston.ac.uk/id/eprint/44226/1/WANG_Fan_2021.pdf,193,https://github.com/helixhorned/metis/tree/pk.,github.com/helixhorned/metis,helixhorned/metis
Similarity Search over Network Structure,Fan Wang,https://publications.aston.ac.uk/id/eprint/44226/1/WANG_Fan_2021.pdf,194,https://github.com/dgleich/metismex.,github.com/dgleich/metismex,dgleich/metismex
Axiomatic Reals and Certified Efficient Exact Real Computation,Michal Konečný,https://publications.aston.ac.uk/id/eprint/43083/1/WoLLIC2021_paper_28.pdf,8,https://github.com/holgerthies/coq-aern,github.com/holgerthies/coq-aern,holgerthies/coq-aern
Genome-wide association studies reveal the role of polymorphisms affecting factor H binding protein expression in host invasion by Neisseria meningitidis,Sarah G Earle,https://publications.aston.ac.uk/id/eprint/43436/1/journal.ppat.1009992.pdf,14,https://github.com/sgearle/bugwas),github.com/sgearle/bugwas,sgearle/bugwas
Genome-wide association studies reveal the role of polymorphisms affecting factor H binding protein expression in host invasion by Neisseria meningitidis,Sarah G Earle,https://publications.aston.ac.uk/id/eprint/43436/1/journal.ppat.1009992.pdf,14,http://github.com/jessiewu/bacterialGWAS.,github.com/jessiewu/bacterialGWAS,jessiewu/bacterialGWAS
Encephalitis patient-derived monoclonal GABAA receptor antibodies cause epileptic seizures,Jakob Kreye,https://publications.aston.ac.uk/id/eprint/43131/1/2021.01.28.428602v1.full.pdf,27,https://github.com/automatedSequencing/BASE.,github.com/automatedSequencing/BASE,automatedSequencing/BASE
Measuring the effectiveness and impact of COVID-19 health policies on firms and UNSDGs:evidence from China,Minhua Yang,https://publications.aston.ac.uk/id/eprint/43154/1/Measuring_the_effectiveness_and_impact.pdf,4,https://github.com/CSSEGISandData/COVID-19/,github.com/CSSEGISandData/COVID-,CSSEGISandData/COVID-19
"Child, parent, and family mental health and functioning in Australia during COVID-19:comparison to pre-pandemic data",E. M. Westrupp,https://publications.aston.ac.uk/id/eprint/43075/1/PRE_PRINT_Westrupp_et_al_CPAS_family_outcomes.pdf,17,https://github.com/nimh-mbdu/CRISIS.,github.com/nimh-mbdu/CRISIS,nimh-mbdu/CRISIS
Insights into Blockchain Implementation in Construction:Models for Supply Chain Management,Algan Tezel,https://publications.aston.ac.uk/id/eprint/43065/1/Insights_into_Blockchain_Implementation_in_Construction.pdf,15,https://github.com/huddersfield-uni-smart-contracts/auction.eth),github.com/huddersfield-uni-smart-contracts/auction,huddersfield-uni-smart-contracts/auction.eth
Insights into Blockchain Implementation in Construction:Models for Supply Chain Management,Algan Tezel,https://publications.aston.ac.uk/id/eprint/43065/1/Insights_into_Blockchain_Implementation_in_Construction.pdf,16,https://github.com/huddersfield-uni-smart-contracts/tokenit.eth),github.com/huddersfield-uni-smart-contracts/tokenit,huddersfield-uni-smart-contracts/tokenit.eth
Genome-wide association study reveals new insights into the heritability and genetic correlates of developmental dyslexia,Alessandro Gialluisi,https://publications.aston.ac.uk/id/eprint/42022/1/s41380_020_00898_x.pdf,9,https://github.com/bulik/ldsc,github.com/bulik/ldsc,bulik/ldsc
A Graph Neural Network to Model Disruption in Human-aware Robot Navigation,Pilar Bachiller,https://publications.aston.ac.uk/id/eprint/42778/1/Bachiller2021_Article_AGraphNeuralNetworkToModelDisr.pdf,15,https://github.com/gnns4hri/sngnnv2.,github.com/gnns4hri/sngnnv,gnns4hri/sngnnv2
A framework for integrating gesture generation models into interactive conversational agents,Rajmund Nagy,https://publications.aston.ac.uk/id/eprint/43079/1/2102.12302.pdf,1,https://github.com/mozilla/TTS,github.com/mozilla/TTS,mozilla/TTS
An efficient combined deep neural network based malware detection framework in 5G environment,Ning Lu,https://publications.aston.ac.uk/id/eprint/43891/1/cas_dc_accepted.pdf,11,https://github.com/androguard/androguard.,github.com/androguard/androguard,androguard/androguard
Online Social Endorsement and Covid-19 Vaccine Hesitancy in the United Kingdom,Andrew Chadwick,https://publications.aston.ac.uk/id/eprint/42480/1/10.1177_20563051211008817.pdf,14,https://github.com/CSSEGISandData/COVID-19,github.com/CSSEGISandData/COVID-,CSSEGISandData/COVID-19
Complex-Valued Neural Network Design for Mitigation of Signal Distortions in Optical Links,Pedro J. Freire,https://publications.aston.ac.uk/id/eprint/42159/1/09280329.pdf,9,https://github.com/pedrofreiree/Complex-NN-based-,github.com/pedrofreiree/Complex-NN-based-,pedrofreiree/Complex-NN-based-on-NLSE
