title,author_for_reference,pdf_url,page_no,domain_url,pattern_cleaned_url,github_user_cleaned_url
Co-simulation of Event-B and Ptolemy II Models via FMI,Jean-Charles Chaudemar,https://eprints.soton.ac.uk/364599/1/erts2014_submission_105.pdf,2,https://github.com/cxbrooks/fmusdk,github.com/cxbrooks/fmusdk,cxbrooks/fmusdk
Provenance capture disparities highlighted through datasets,G. Blake Coe,https://eprints.soton.ac.uk/411158/1/tapp14_paper_coe.pdf,3,https://github.com/plus-provenance/plus.,github.com/plus-provenance/plus,plus-provenance/plus
Practical considerations in selecting the best set of simulated systems,Christine Currie,https://eprints.soton.ac.uk/421984/1/practical_considerations_selecting.pdf,5,https://github.com/CLAHRCWessex/BootComp).,github.com/CLAHRCWessex/BootComp,CLAHRCWessex/BootComp
PBFT vs proof-of-authority: applying the CAP theorem to permissioned blockchain,Stefano De Angelis,https://eprints.soton.ac.uk/415083/2/itasec18_main.pdf,9,https://github.com/paritytech/parity/wiki/Aura.,github.com/paritytech/parity,paritytech/parity
PBFT vs proof-of-authority: applying the CAP theorem to permissioned blockchain,Stefano De Angelis,https://eprints.soton.ac.uk/415083/2/itasec18_main.pdf,9,https://github.com/ethereum/EIPs/issues/225.,github.com/ethereum/EIPs,ethereum/EIPs
PBFT vs proof-of-authority: applying the CAP theorem to permissioned blockchain,Stefano De Angelis,https://eprints.soton.ac.uk/415083/2/itasec18_main.pdf,9,https://github.com/corda/corda/.,github.com/corda/corda,corda/corda
Model agnostic interpretability for multiple instance learning,Joseph Early,https://eprints.soton.ac.uk/454952/1/2201.11701v2.pdf,0,https://github.com/JAEarly/MILLI.,github.com/JAEarly/MILLI,JAEarly/MILLI
"EaRL: an open-source software for earthquake risk, loss and lifecycle assessment",Ahmed Elkady,https://eprints.soton.ac.uk/473279/1/ICOSSAR2021_Full_paper_Elkady.pdf,6,https://github.com/amaelkady/EaRL).,github.com/amaelkady/EaRL,amaelkady/EaRL
Using clang as a frontend on a formal verification tool,Mikhail R. Gadelha,https://eprints.soton.ac.uk/433284/1/Using_clang_as_a_Frontend_on_a_Formal_Verification_Tool.pdf,0,https://github.com/esbmc/esbmc,github.com/esbmc/esbmc,esbmc/esbmc
Developing an open-source platform for the evaluation of intelligent traffic control algorithms,Bo Gao,https://eprints.soton.ac.uk/416599/1/TRA2018_11350_gao.pdf,0,https://github.com/intelaligent/tctb,github.com/intelaligent/tctb,intelaligent/tctb
Identifying key influences for planning acceptance of onshore wind turbines,Michael Harper,https://eprints.soton.ac.uk/408181/1/ECOSPaper_vn2.pdf,7,https://github.com/mikey-harper/WindStatisticalAnalysis),github.com/mikey-harper/WindStatisticalAnalysis,mikey-harper/WindStatisticalAnalysis
Anatomically constrained ResNets exhibit opponent receptive fields; so what?,Ethan William Albert Harris,https://eprints.soton.ac.uk/445761/1/anatomically_constrained_resnets_exhibit_opponent_receptive_fields_so_what_.pdf,3,https://github.com/rgeirhos/Stylized-ImageNet,github.com/rgeirhos/Stylized-ImageNet,rgeirhos/Stylized-ImageNet
Spatial and colour opponency in anatomically constrained deep networks,Ethan William Albert Harris,https://eprints.soton.ac.uk/441205/1/6_CameraReadySubmission_Color_Paper_SVRHM_2019_3_.pdf,0,https://github.com/ecs-vlc/opponency.,github.com/ecs-vlc/opponency,ecs-vlc/opponency
Foveated convolutions: improving spatial transformer networks by modelling the retina,Ethan William Albert Harris,https://eprints.soton.ac.uk/441204/1/5_CameraReadySubmission_workshop.pdf,0,https://github.com/ethanwharris/foveated-convolutions.,github.com/ethanwharris/foveated-convolutions,ethanwharris/foveated-convolutions
Smart Papers: Dynamic publications on the Blockchain,Michal R. Hoffman,https://eprints.soton.ac.uk/422826/1/smart_papers_dynamic_7_.pdf,5,https://github.com/greenelab/manubot-rootstock,github.com/greenelab/manubot-rootstock,greenelab/manubot-rootstock
Smart Papers: Dynamic publications on the Blockchain,Michal R. Hoffman,https://eprints.soton.ac.uk/422826/1/smart_papers_dynamic_7_.pdf,5,https://github.com/greenelab/deep-review/pull/274,github.com/greenelab/deep-review,greenelab/deep-review
Smart Papers: Dynamic publications on the Blockchain,Michal R. Hoffman,https://eprints.soton.ac.uk/422826/1/smart_papers_dynamic_7_.pdf,9,https://github.com/corda/corda,github.com/corda/corda,corda/corda
Smart Papers: Dynamic publications on the Blockchain,Michal R. Hoffman,https://eprints.soton.ac.uk/422826/1/smart_papers_dynamic_7_.pdf,12,https://github.com/mikehoﬀ/SmartPapers,github.com/mikehoff/SmartPapers,mikehoff/SmartPapers
Smart Papers: Dynamic publications on the Blockchain,Michal R. Hoffman,https://eprints.soton.ac.uk/422826/1/smart_papers_dynamic_7_.pdf,12,https://github.com/truﬄesuite/ganache-cli,github.com/trufflesuite/ganache-cli,trufflesuite/ganache-cli
Smart Papers: Dynamic publications on the Blockchain,Michal R. Hoffman,https://eprints.soton.ac.uk/422826/1/smart_papers_dynamic_7_.pdf,14,https://github.com/ethereum/yellowpaper,github.com/ethereum/yellowpaper,ethereum/yellowpaper
"GeoSPARQL+: Syntax, semantics and system for integrated querying of graph, raster and vector data",Timo Homburg,https://eprints.soton.ac.uk/443756/1/crc_iswc2019geosparql_v4_final.pdf,11,https://github.com/i3mainz/jena-geo,github.com/i3mainz/jena-geo,i3mainz/jena-geo
"GeoSPARQL+: Syntax, semantics and system for integrated querying of graph, raster and vector data",Timo Homburg,https://eprints.soton.ac.uk/443756/1/crc_iswc2019geosparql_v4_final.pdf,15,https://github.com/opengeospatial/geosemantics-dwg/raw/,github.com/opengeospatial/geosemantics-dwg,opengeospatial/geosemantics-dwg
Making sense of numerical data - semantic labelling of web tables,"Emilia, Magdalena Kacprzak",https://eprints.soton.ac.uk/426723/1/numerical_kacprzak.pdf,8,https://github.com/chabrowa/semantification,github.com/chabrowa/semantification,chabrowa/semantification
Making sense of numerical data - semantic labelling of web tables,"Emilia, Magdalena Kacprzak",https://eprints.soton.ac.uk/426723/1/numerical_kacprzak.pdf,9,https://github.com/sebneu/number_labelling,github.com/sebneu/number_labelling,sebneu/number_labelling
Mind the (Language) Gap: Generation of Multilingual Wikipedia Summaries from Wikidata for ArticlePlaceholders,Lucie-Aimée Kaffee,https://eprints.soton.ac.uk/419727/1/ESWC_Textual_ArticlePlaceholder.pdf,2,https://github.com/pvougiou/Mind-the-Language-Gap.,github.com/pvougiou/Mind-the-Language-Gap,pvougiou/Mind-the-Language-Gap
Mind the (Language) Gap: Generation of Multilingual Wikipedia Summaries from Wikidata for ArticlePlaceholders,Lucie-Aimée Kaffee,https://eprints.soton.ac.uk/419727/1/ESWC_Textual_ArticlePlaceholder.pdf,8,https://github.com/luciekaffee/Announcements,github.com/luciekaffee/Announcements,luciekaffee/Announcements
When humans and machines collaborate: cross-lingual label editing in Wikidata,Lucie-Aimée Kaffee,https://eprints.soton.ac.uk/433768/1/os19_paper_A16_kaffee.pdf,2,https://github.com/luciekaffee/Wikidata-User-Languages/,github.com/luciekaffee/Wikidata-User-Languages,luciekaffee/Wikidata-User-Languages
What does an ontology engineering community look like?: a systematic analysis of the schema.org community,Samantha Kanza,https://eprints.soton.ac.uk/422688/1/paper_217.pdf,4,https://github.com/samikanza/schema-datasets.,github.com/samikanza/schema-datasets,samikanza/schema-datasets
What does an ontology engineering community look like?: a systematic analysis of the schema.org community,Samantha Kanza,https://eprints.soton.ac.uk/422688/1/paper_217.pdf,4,https://github.com/schemaorg/schemaorg,github.com/schemaorg/schemaorg,schemaorg/schemaorg
What does an ontology engineering community look like?: a systematic analysis of the schema.org community,Samantha Kanza,https://eprints.soton.ac.uk/422688/1/paper_217.pdf,5,https://github.com/PyGithub/PyGithub,github.com/PyGithub/PyGithub,PyGithub/PyGithub
Automatic firewalls’ configuration using argumentation reasoning,Erisa Karafili,https://eprints.soton.ac.uk/445350/1/Automatic_Firewalls_Configuration_Using_Argumentation_Reasoning.pdf,11,https://github.com/coreemu/core,github.com/coreemu/core,coreemu/core
How to train your agent: active learning from human preferences and justifications in safety-critical environments,Ilias Kazantzidis,https://eprints.soton.ac.uk/454808/1/JPAL_AAMAS_2022_Extended_Abstract.pdf,0,https://github.com/ilkaza/JPAL-HA,github.com/ilkaza/JPAL-HA,ilkaza/JPAL-HA
Jupyter Notebooks – a publishing format for reproducible computational workflows,Thomas Kluyver,https://eprints.soton.ac.uk/403913/1/STAL9781614996491-0087.pdf,2,"https://github.com/minrk/ligo-binder),",github.com/minrk/ligo-binder,minrk/ligo-binder
Jupyter Notebooks – a publishing format for reproducible computational workflows,Thomas Kluyver,https://eprints.soton.ac.uk/403913/1/STAL9781614996491-0087.pdf,2,"https://github.com/takluyver/cite2c),",github.com/takluyver/cite,takluyver/cite2c
Jupyter Notebooks – a publishing format for reproducible computational workflows,Thomas Kluyver,https://eprints.soton.ac.uk/403913/1/STAL9781614996491-0087.pdf,3,https://github.com/jrjohansson/qutip-,github.com/jrjohansson/qutip-,jrjohansson/qutip
Chromium based Framework to include Gaze Interaction in Web Browser,Chandan Kumar,https://eprints.soton.ac.uk/406516/1/demo34_ATS.pdf,1,https://github.com/MAMEM/GazeTheWeb,github.com/MAMEM/GazeTheWeb,MAMEM/GazeTheWeb
Chromium based Framework to include Gaze Interaction in Web Browser,Chandan Kumar,https://eprints.soton.ac.uk/406516/1/demo34_ATS.pdf,4,https://github.com/OptiKey/OptiKey.,github.com/OptiKey/OptiKey,OptiKey/OptiKey
Multi energy computed tomography imaging optimization,Raziye Kubra Kumrular,https://eprints.soton.ac.uk/452021/3/SPIE_Style_Multi_Energy_CT_Opt.pdf,6,https://github.com/keras-team/keras.,github.com/keras-team/keras,keras-team/keras
Developing a framework for studying brain networks in neonatal hypoxic-ischemic encephalopathy,Finn Lennartsson,https://eprints.soton.ac.uk/425108/1/MIUA_2018_Final_Full_paper_Finn_Lennartsson.pdf,4,"https://github.com/MIRTK/DrawEM)[14],",github.com/MIRTK/DrawEM,MIRTK/DrawEM
Developing a framework for studying brain networks in neonatal hypoxic-ischemic encephalopathy,Finn Lennartsson,https://eprints.soton.ac.uk/425108/1/MIUA_2018_Final_Full_paper_Finn_Lennartsson.pdf,5,https://github.com/MRtrix3/mrtrix3).,github.com/MRtrix3/mrtrix,MRtrix3/mrtrix3
WhatTheySaid: enriching UK Parliament debates with Semantic Web,Yunjia Li,https://eprints.soton.ac.uk/369998/1/iswc2014pd.pdf,2,https://github.com/antoniogarrote/rdfstore-js,github.com/antoniogarrote/rdfstore-js,antoniogarrote/rdfstore-js
Media fragment indexing using social media,Yunjia Li,https://eprints.soton.ac.uk/369999/1/lime2014.pdf,4,https://github.com/tomayac/Media-Fragments-URI/,github.com/tomayac/Media-Fragments-URI,tomayac/Media-Fragments-URI
Media fragment indexing using social media,Yunjia Li,https://eprints.soton.ac.uk/369999/1/lime2014.pdf,10,https://github.com/yunjiali/Media-Fragments-URI-Loose,github.com/yunjiali/Media-Fragments-URI-Loose,yunjiali/Media-Fragments-URI-Loose
A low-cost experimental rig for multi-DOF unsteady thrust measurements of aquatic bioinspired soft robots,Artur K. Lidtke,https://eprints.soton.ac.uk/418281/1/SoRo2018_LidtkeSerchiWeymouth.pdf,5,"https://github.com/UnnamedMoose/ArduinoInterfaces,",github.com/UnnamedMoose/ArduinoInterfaces,UnnamedMoose/ArduinoInterfaces
Design and implementation of a mini quadrotor control system in GPS denied environments,Chang Liu,https://eprints.soton.ac.uk/378016/1/Design%2520and%2520Implementation%2520of%2520A%2520Mini%2520Quadrotor%2520Control%2520System%2520in%2520GPS%2520Denied%2520Environments%2520-%2520ICUAS%25202015.pdf,4,https://github.com/mjs513/FreeIMU-Updates,github.com/mjs513/FreeIMU-Updates,mjs513/FreeIMU-Updates
Ensuring genuineness for selectively disclosed confidential data using distributed ledgers: Applications to rail wayside monitoring,Matthias Lohr,https://eprints.soton.ac.uk/433361/1/data_genuineness_6Page_draft.pdf,3,https://github.com/ethereum/ropsten,github.com/ethereum/ropsten,ethereum/ropsten
Cost fairness for blockchain-based two-party exchange protocols,Matthias Lohr,https://eprints.soton.ac.uk/444901/1/camera_ready_049500a428.pdf,5,https://github.com/lEthDev/FairSwap,github.com/lEthDev/FairSwap,lEthDev/FairSwap
Learning salient structures for the analysis of symmetric patterns,Jaime Lomeli-R.,https://eprints.soton.ac.uk/408138/1/Learning_Salient_Structures_for_the_Analysis_of_Symmetric_Patterns.pdf,7,https://github.com/jimmylomro/symmetry.,github.com/jimmylomro/symmetry,jimmylomro/symmetry
Intermittent opportunistic routing components for the INET framework,Edward Longman,https://eprints.soton.ac.uk/451193/1/OpportunisticStackDesign.pdf,0,https://github.com/UoS-EEC/INET-opportunistic-routing,github.com/UoS-EEC/INET-opportunistic-routing,UoS-EEC/INET-opportunistic-routing
Survey of existing fingerprint countermeasures,Sakchan Luangmaneerote,https://eprints.soton.ac.uk/401902/1/IEEE_i-society2.pdf,4,https://github.com/ghostwords/chameleon.,github.com/ghostwords/chameleon,ghostwords/chameleon
A distributed infrastructure for democratic cloud federations,Andrea Margheri,https://eprints.soton.ac.uk/411957/1/2017_CLOUD_DemocraticInfrastructure.pdf,2,https://github.com/sunﬁsh-prj/SUNFISH-Platform-API/tree/master/,github.com/sunfish-prj/SUNFISH-Platform-API,sunfish-prj/SUNFISH-Platform-API
Submap bathymetric SLAM using structured light in underwater environments,Miquel Massot-Campos,https://eprints.soton.ac.uk/400196/1/Miguel_2016_AUV.pdf,6,https://github.com/srv/terrain,github.com/srv/terrain,srv/terrain_slam
Enhanced representation of web pages for usability analysis with eye tracking,Raphael Menges,https://eprints.soton.ac.uk/419737/1/_accepted_ETRA_18_Menges_Tamimi_Kumar_Walber_Schaefer_Staab_Enhanced_Representation_of_Web_Pages_for_Usability_Analysis_with_Eye_Tracking.pdf,3,https://www.github.com/Institute-Web-Science-and-Technologies/MTB,github.com/Institute-Web-Science-and-Technologies/MTB,Institute-Web-Science-and-Technologies/MTB
Information extraction from the long tail: A socio-technical AI approach for criminology investigations into the online illegal plant trade,Stuart Middleton,https://eprints.soton.ac.uk/441265/1/WebSci_2020_STAIDCC_middleton_accepted.pdf,3,https://github.com/TeamHG-Memex/undercrawler,github.com/TeamHG-Memex/undercrawler,TeamHG-Memex/undercrawler
Information extraction from the long tail: A socio-technical AI approach for criminology investigations into the online illegal plant trade,Stuart Middleton,https://eprints.soton.ac.uk/441265/1/WebSci_2020_STAIDCC_middleton_accepted.pdf,4,https://github.com/stuartemiddleton/intel_viz_entity_graph,github.com/stuartemiddleton/intel_viz_entity_graph,stuartemiddleton/intel_viz_entity_graph
GloSAT Historical Measurement Table Dataset: Enhanced table structure recognition annotation for downstream historical data rescue,Stuart Middleton,https://eprints.soton.ac.uk/450279/1/GloSAT_HIPS2021_12_05_2021.pdf,1,https://github.com/stuartemiddleton/glosat_table_dataset,github.com/stuartemiddleton/glosat_table_dataset,stuartemiddleton/glosat_table_dataset
Linux patch management: With security assessment features,Soranut Midtrapanon,https://eprints.soton.ac.uk/433023/1/Patch_Management.pdf,7,https://github.com/vFense/vFense,github.com/vFense/vFense,vFense/vFense
Linux patch management: With security assessment features,Soranut Midtrapanon,https://eprints.soton.ac.uk/433023/1/Patch_Management.pdf,7,https://github.com/CodeSeven/toastr,github.com/CodeSeven/toastr,CodeSeven/toastr
Lightweight obfuscation techniques for modeling attacks resistant PUFs,Mohd Syafiq Mispan,https://eprints.soton.ac.uk/412725/1/IVSW_correction.pdf,5,"https://github.com/secworks/sha256,",github.com/secworks/sha,secworks/sha1
Creating opportunities to learn social skills at school using digital games,Stefano Modafferi,https://eprints.soton.ac.uk/396901/1/396901.pdf,8,"https://github.com/adlnet/xAPI-Spec,",github.com/adlnet/xAPI-Spec,adlnet/xAPI-Spec
Provenance of Publications: A PROV style for latex,Luc Moreau,https://eprints.soton.ac.uk/378019/3/prov-sty-tapp15.pdf,0,https://github.com/prov-suite/prov-sty.,github.com/prov-suite/prov-sty,prov-suite/prov-sty
"An Online Validator for Provenance: Algorithmic Design, Testing, and API",Luc Moreau,https://eprints.soton.ac.uk/361113/2/validator.pdf,13,https://github.com/pgroth/prov-check,github.com/pgroth/prov-check,pgroth/prov-check
"An Online Validator for Provenance: Algorithmic Design, Testing, and API",Luc Moreau,https://eprints.soton.ac.uk/361113/2/validator.pdf,13,https://github.com/jamescheney/prov-constraints,github.com/jamescheney/prov-constraints,jamescheney/prov-constraints
Lazy sequentialization for the safety verification of unbounded concurrent programs,Truc Nguyen Lam,https://eprints.soton.ac.uk/397033/1/Lazy_Sequentialization_for_the_Safety_Verification_of_Unbounded_Concurrent_Programs.pdf,10,https://github.com/seahorn/seahorn/releases/download/v0.1.0/SeaHorn-0.1.0-Linux-,github.com/seahorn/seahorn,seahorn/seahorn
Parallel bug-finding in concurrent programs via reduced interleaving instances,Truc Nguyen Lam,https://eprints.soton.ac.uk/413917/1/swarm_ASE2017.pdf,5,https://github.com/eliben/pycparser,github.com/eliben/pycparser,eliben/pycparser
Linear disentangled representations and unsupervised action estimation,Matthew Painter,https://eprints.soton.ac.uk/444801/1/representations.pdf,5,https://github.com/MattPainter01/UnsupervisedActionEstimation.,github.com/MattPainter01/UnsupervisedActionEstimation,MattPainter01/UnsupervisedActionEstimation
A policy editor for semantic sensor networks,Paolo Pareti,https://eprints.soton.ac.uk/435946/1/pareti_iswc_demo.pdf,3,https://github.com/paolo7/demo-ﬁles-ISWC2019,github.com/paolo7/demo-files-ISWC,paolo7/demo-files-ISWC2019
Dataport and NILMTK: a building data set designed for non-intrusive load monitoring,Oliver Parson,https://eprints.soton.ac.uk/381304/1/globalsip_smart_buildings_2015_camera_ready.pdf,2,https://github.com/nilmtk/nilmtk/tree/master/docs/manual,github.com/nilmtk/nilmtk,nilmtk/nilmtk
Coastal Modelling Environment version 1.0:: a framework for integrating landform specifc component models in order to simulate decadal to centennial morphological changes on complex coasts,Andres Payo Garcia,https://eprints.soton.ac.uk/411825/1/Payo_etal_GMD_v20170607Figures.pdf,25,https://github.com/coastalme/coastalme.,github.com/coastalme/coastalme,coastalme/coastalme
What makes a good collaborative knowledge graph: group composition and quality in Wikidata,Alessandro Piscopo,https://eprints.soton.ac.uk/414464/1/wd_groups.pdf,10,https://github.com/Aliossandro/WD-group_diversity.,github.com/Aliossandro/WD-group_diversity,Aliossandro/WD-group_diversity
Who models the world?: Collaborative ontology creation and user roles in Wikidata,Alessandro Piscopo,https://eprints.soton.ac.uk/423194/1/cscw_text_review.pdf,4,https://github.com/Aliossandro/who_models_the_world_submission_1161_cscw.git.,github.com/Aliossandro/who_models_the_world_submission_,Aliossandro/who_models_the_world_submission_1161_cscw
What do Wikidata and Wikipedia have in common? An analysis of their use of external references,Alessandro Piscopo,https://eprints.soton.ac.uk/412922/1/opensym_wd_vs_wp_2_.pdf,5,https://github.com/pvougiou/Wikidata-Referencing.,github.com/pvougiou/Wikidata-Referencing,pvougiou/Wikidata-Referencing
SRUP: the Secure Remote Update Protocol,Andrew Poulter,https://eprints.soton.ac.uk/402143/1/SRUP.pdf,5,https://github.com/dstl/SRUP/,github.com/dstl/SRUP,dstl/SRUP
Using the MEAN Stack to implement a RESTful service for an Internet of Things Application,Andrew J. Poulter,https://eprints.soton.ac.uk/383487/1/PID3973543.pdf,5,"https://github.com/joyent/node/wiki/Projects,-Applications,-",github.com/joyent/node,joyent/node
Using the MEAN Stack to implement a RESTful service for an Internet of Things Application,Andrew J. Poulter,https://eprints.soton.ac.uk/383487/1/PID3973543.pdf,5,https://github.com/ﬁvdi/onoff,github.com/fivdi/onoff,fivdi/onoff
pySRUP – simplifying secure communications for command &amp; control in the Internet of Things,Andrew John Poulter,https://eprints.soton.ac.uk/428680/1/pySRUP.pdf,4,https://github.com/dstl/srup,github.com/dstl/srup,dstl/srup
Good usability practices in scientific software development,Francisco Queiroz,https://eprints.soton.ac.uk/425499/1/Good_Usability_Practices.pdf,4,"https://github.com/recipy/recipy,",github.com/recipy/recipy,recipy/recipy
Mapping the safety of navigation in UK waters,"Andrew, David Rawson",https://eprints.soton.ac.uk/451520/2/RGS_Poster_Rawson_01.pdf,0,https://github.com/r-barnes/dggridR.,github.com/r-barnes/dggridR,r-barnes/dggridR
Developing agent-based migration models in pairs,Oliver Reinhardt,https://eprints.soton.ac.uk/432966/1/Paper_WinterSim_2019.pdf,1,https://github.com/mhinsch/RRGraphs_mini,github.com/mhinsch/RRGraphs_mini,mhinsch/RRGraphs_mini
Developing agent-based migration models in pairs,Oliver Reinhardt,https://eprints.soton.ac.uk/432966/1/Paper_WinterSim_2019.pdf,1,"https://github.com/oreindt/routes-rumours-ml3,",github.com/oreindt/routes-rumours-ml,oreindt/routes-rumours-ml3
Real-time opinion aggregation methods for crowd robotics,Elliot Salisbury,https://eprints.soton.ac.uk/375287/1/document.pdf,2,https://github.com/ElliotSalisbury/CrowdDrone,github.com/ElliotSalisbury/CrowdDrone,ElliotSalisbury/CrowdDrone
Inference and discovery in remote sensing data with features extracted using deep networks,Isabel Sargent,https://eprints.soton.ac.uk/414240/1/ImageLearn_BCSAI2017.pdf,5,https://github.com/fchollet/keras,github.com/fchollet/keras,fchollet/keras
Co-simulating Event-B and continuous models via FMI,Vitaly Savicks,https://eprints.soton.ac.uk/365252/1/ss14_ebfmi.pdf,5,https://github.com/modelica/PowerSystems,github.com/modelica/PowerSystems,modelica/PowerSystems
Is language modeling enough? Evaluating effective embedding combinations,Rudolf Schneider,https://eprints.soton.ac.uk/438613/1/LREC20_LM_TM_27_1_.pdf,0,https://github.com/facebookresearch/SentEval,github.com/facebookresearch/SentEval,facebookresearch/SentEval
Is language modeling enough? Evaluating effective embedding combinations,Rudolf Schneider,https://eprints.soton.ac.uk/438613/1/LREC20_LM_TM_27_1_.pdf,0,https://github.com/sebastianarnold/WikiSection,github.com/sebastianarnold/WikiSection,sebastianarnold/WikiSection
Is language modeling enough? Evaluating effective embedding combinations,Rudolf Schneider,https://eprints.soton.ac.uk/438613/1/LREC20_LM_TM_27_1_.pdf,2,https://github.com/DATEXIS/pubmedsection,github.com/DATEXIS/pubmedsection,DATEXIS/pubmedsection
Is language modeling enough? Evaluating effective embedding combinations,Rudolf Schneider,https://eprints.soton.ac.uk/438613/1/LREC20_LM_TM_27_1_.pdf,4,https://github.com/DATEXIS/SentEval-k8s,github.com/DATEXIS/SentEval-k,DATEXIS/SentEval-k8s
Empirical study on the usage of graph query languages in open source Java projects,Philipp Seifer,https://eprints.soton.ac.uk/434439/1/camera_ready_sle19.pdf,5,https://www.github.com/softlang/graphqls,github.com/softlang/graphqls,softlang/graphqls
Empirical study on the usage of graph query languages in open source Java projects,Philipp Seifer,https://eprints.soton.ac.uk/434439/1/camera_ready_sle19.pdf,13,https://github.com/opencypher/openCypher/blob/,github.com/opencypher/openCypher,opencypher/openCypher
ProGS: Property Graph Shapes Language,Philipp Seifer,https://eprints.soton.ac.uk/450455/1/crc_Query_Validation_ISWC_2021_submission_5_.pdf,14,https://github.com/softlang/progs,github.com/softlang/progs,softlang/progs
ProGS: Property Graph Shapes Language,Philipp Seifer,https://eprints.soton.ac.uk/450455/1/crc_Query_Validation_ISWC_2021_submission_5_.pdf,16,https://github.com/weso/shaclex,github.com/weso/shaclex,weso/shaclex
