title,author_for_reference,pdf_url,page_no,domain_url,pattern_cleaned_url,github_user_cleaned_url
"CFD code comparison, verification and validation for a FOWT semi-submersible floater (OC4 Phase II)",Pranav Chandramouli,https://eprints.soton.ac.uk/455168/1/MARINE2021_OC4_TUDelft_WavEC.pdf.pdf,0,https://github.com/WavEC-Offshore-Renewables/tokyo-wavec-fowt,github.com/WavEC-Offshore-Renewables/tokyo-wavec-fowt,WavEC-Offshore-Renewables/tokyo-wavec-fowt
Detecting anomalies in activities of daily living of elderly residents via energy disaggregation and Cox processes,José Alcalá,https://eprints.soton.ac.uk/381714/1/buildsys_2015_camera_ready_no_slug.pdf,9,"http://github.com/SheffieldML/GPy,",github.com/SheffieldML/GPy,SheffieldML/GPy
The circuit breaker pattern targeted to future IoT applications,Gibeon Aquino,https://eprints.soton.ac.uk/432998/1/cameraready_shortpaper_cb_iot_v2.pdf,3,https://github.com/labcomu/smart-traﬃc-prototype,github.com/labcomu/smart-traffic-prototype,labcomu/smart-traffic-prototype
Towards adaptive access control,Luciano Argento,https://eprints.soton.ac.uk/421536/1/DBSec_mlac.pdf,7,https://github.com/cybersoton/ml-ac/,github.com/cybersoton/ml-ac,cybersoton/ml-ac
Air-to-air collaborative  learning: a multi-task orchestration in federated aerial computing,Uchechukwu Awada,https://eprints.soton.ac.uk/454649/1/cloud2021.pdf,9,https://github.com/alibaba/clusterdata/blob/master/,github.com/alibaba/clusterdata,alibaba/clusterdata
Negotiation as an interaction mechanism for deciding app permissions,Tim Baarslag,https://eprints.soton.ac.uk/394404/1/ea2012_baarslag.pdf,6,https://github.com/M66B/XPrivacy,github.com/M66B/XPrivacy,M66B/XPrivacy
Inclusive semi-leptonic <i>B</i><sub>(s)</sub> mesons decay at the physical<i> b</i> quark mass,Alessandro Barone,https://eprints.soton.ac.uk/473266/1/2211.15623v1.pdf,9,https://github.com/paboyle/Grid.,github.com/paboyle/Grid,paboyle/Grid
NILMTK: An open source toolkit for non-intrusive load monitoring,Nipun Batra,https://eprints.soton.ac.uk/364293/1/NILMTK.pdf,1,http://github.com/nilmtk/nilmtk,github.com/nilmtk/nilmtk,nilmtk/nilmtk
Combining machine learning and human experts to predict match outcomes in football: A baseline model,Ryan James Beal,https://eprints.soton.ac.uk/445607/1/IAAI_Football_Paper_CameraReady.pdf,2,https://github.com/RyanBeal7/GuardianPreviewData,github.com/RyanBeal7/GuardianPreviewData,RyanBeal7/GuardianPreviewData
ProsocialLearn: a Prosocial Games Marketplace,Michael Boniface,https://eprints.soton.ac.uk/417086/1/ProsocialLearn_is_a_digital_pro_social_games.pdf,4,https://github.com/adlnet/xAPI-,github.com/adlnet/xAPI-,adlnet/xAPI-Spec
An end-to-end approach for extracting and segmenting high-variance references from PDF documents,Zeyd Boukhers,https://eprints.soton.ac.uk/430836/1/BoukhersJCDL2019.pdf,2,https://github.com/exciteproject/Exparser,github.com/exciteproject/Exparser,exciteproject/Exparser
Tensor-based graph modularity for text data clustering,Rafika Boutalbi,https://eprints.soton.ac.uk/458195/1/SIGIR_2022_Tensor_based_Graph_Modularity_for_Multi_view_Text_Data_Clustering_camera_ready.pdf,0,https://github.com/TGMclustering/TGMclustering.,github.com/TGMclustering/TGMclustering,TGMclustering/TGMclustering
An application- and platform-agnostic control and monitoring framework for multicore systems,Graeme McLachlan Bragg,https://eprints.soton.ac.uk/422025/1/PECCS_full.pdf,0,https://github.com/PRiME-project/PRiME-Framework,github.com/PRiME-project/PRiME-Framework,PRiME-project/PRiME-Framework
A longitudinal investigation of lexical bundles in a learner corpus,Duygu Candarli,https://eprints.soton.ac.uk/474405/1/Koene_et_al_2015_CL2015_AbstractBook.pdf,231,https://github.com/tmbdev/ocropy,github.com/tmbdev/ocropy,tmbdev/ocropy
An open-source implementation of analytical turbulence-airfoil interaction noise model,Fabio Casagrande Hirono,https://eprints.soton.ac.uk/441573/1/Hirono_Joseph_Fazi_Open_Source_Implementation_of_Airfoil_Noise.pdf,1,https://github.com/fchirono/amiet_tools,github.com/fchirono/amiet_tools,fchirono/amiet_tools
AIF-EL - An OWL2-EL-compliant AIF ontology,Federico Cerutti,https://eprints.soton.ac.uk/425072/1/FAIA305_0455_1_.pdf,0,https://github.com/stain/profilechecker,github.com/stain/profilechecker,stain/profilechecker
A data-driven analysis of the interplay between criminological theory and predictive policing algorithms,Age Chapman,https://eprints.soton.ac.uk/457426/1/ACMFACCT_Criminology_Chapman.pdf,5,https://github.com/seatgeek/fuzzywuzzy,github.com/seatgeek/fuzzywuzzy,seatgeek/fuzzywuzzy
