title,date,author_for_reference,pdf_url
Debate and Game: The Relevant Britain Literary Award – Enabling students to discuss contemporary issues in a safe and engaging way,2019-11-09,Sherezade Garcia Rangel,https://repository.falmouth.ac.uk/3661/17/The%20Relevant%20Britain%20Award.pdf
Debate and Game: The Relevant Britain Literary Award – Enabling students to discuss contemporary issues in a safe and engaging way,2019-11-09,Sherezade Garcia Rangel,https://repository.falmouth.ac.uk/3661/18/lightbox.jpg
Debate and Game: The Relevant Britain Literary Award – Enabling students to discuss contemporary issues in a safe and engaging way,2019-11-09,Sherezade Garcia Rangel,https://repository.falmouth.ac.uk/3661/19/preview.jpg
Debate and Game: The Relevant Britain Literary Award – Enabling students to discuss contemporary issues in a safe and engaging way,2019-11-09,Sherezade Garcia Rangel,https://repository.falmouth.ac.uk/3661/20/medium.jpg
Debate and Game: The Relevant Britain Literary Award – Enabling students to discuss contemporary issues in a safe and engaging way,2019-11-09,Sherezade Garcia Rangel,https://repository.falmouth.ac.uk/3661/21/small.jpg
Debate and Game: The Relevant Britain Literary Award – Enabling students to discuss contemporary issues in a safe and engaging way,2019-11-09,Sherezade Garcia Rangel,https://repository.falmouth.ac.uk/3661/22/indexcodes.txt
The Damage Done,2019-11-09,Rupert Loydell,https://repository.falmouth.ac.uk/3620/1/Testament%20review.docx
The Damage Done,2019-11-09,Rupert Loydell,https://repository.falmouth.ac.uk/3620/2/indexcodes.txt
Heart Of Unity,2019-11-09,Linda Scott,https://repository.falmouth.ac.uk/3753/1/Heart%20Of%20Unity.jpg
Heart Of Unity,2019-11-09,Linda Scott,https://repository.falmouth.ac.uk/3753/2/lightbox.jpg
Heart Of Unity,2019-11-09,Linda Scott,https://repository.falmouth.ac.uk/3753/3/preview.jpg
Heart Of Unity,2019-11-09,Linda Scott,https://repository.falmouth.ac.uk/3753/4/medium.jpg
Heart Of Unity,2019-11-09,Linda Scott,https://repository.falmouth.ac.uk/3753/5/small.jpg
CHAOS: A Co-Created book publication,2019-11-08,Stephen Braund,https://repository.falmouth.ac.uk/3747/1/illustrating%20mental%20health%20exhibition%2C%20chaos%20book.jpeg
CHAOS: A Co-Created book publication,2019-11-08,Stephen Braund,https://repository.falmouth.ac.uk/3747/2/dark%20angel%20exhibit.jpeg
CHAOS: A Co-Created book publication,2019-11-08,Stephen Braund,https://repository.falmouth.ac.uk/3747/3/IR10%20MAKERS%20ILLUSTRATING%20MENTAL%20HEALTH%20.pdf
CHAOS: A Co-Created book publication,2019-11-08,Stephen Braund,https://repository.falmouth.ac.uk/3747/4/lightbox.jpg
CHAOS: A Co-Created book publication,2019-11-08,Stephen Braund,https://repository.falmouth.ac.uk/3747/5/preview.jpg
CHAOS: A Co-Created book publication,2019-11-08,Stephen Braund,https://repository.falmouth.ac.uk/3747/6/medium.jpg
