title,date,author_for_reference,pdf_url
"Design of a robust digital current controller for a
grid connected interleaved inverter",2010-03-18,M. A. Abu-sara,https://eprints.soton.ac.uk/73643/1/Design_of_a_Robust_Digital_Current_Controller_for_a.pdf
Detecting moving spheres in 3D point clouds via the 3D velocity Hough transform,2013-06-11,Anas Abuzaina,https://eprints.soton.ac.uk/359076/1/CameraReady_Abuzaina.pdf
Detecting moving spheres in 3D point clouds via the 3D velocity Hough transform,2013-06-11,Anas Abuzaina,https://eprints.soton.ac.uk/359076/2/06611895.pdf
3D Motion Estimation By Evidence Gathering,2017-04-24,Anas Abuzaina,https://eprints.soton.ac.uk/405242/1/bare_conf.pdf
3D moving object reconstruction by temporal accumulation,2014-08-25,Anas Abuzaina,https://eprints.soton.ac.uk/374261/1/AbuzainaFinal.pdf
Real and virtual photons effects in di-lepton production at the LHC,2017-05-05,Elena Accomando,https://eprints.soton.ac.uk/429133/1/1704.08587v2
Robust Channel Identification Scheme: Solving Permutation Indeterminacy of ICA for Artifacts Removal from ECG,2010-09-01,Amit Acharyya,https://eprints.soton.ac.uk/271274/1/PID1354011.pdf
An CFRP fabrics as internal reinforcement in concrete beams,2015,M. Achintha,https://eprints.soton.ac.uk/378624/1/ACIC%25202015%2520Paper%2520R1.pdf
A combined experimental and numerical approach to the investigation of the influence of geometry on residual stresses in structural glass,2015-02-10,M. Achintha,https://eprints.soton.ac.uk/374784/1/Abstract_ICM_12_Achintha_Balan.pdf
The need of a unified method for strength and ductility analysis of strengthened concrete columns,2013-09-12,M. Achintha,https://eprints.soton.ac.uk/369125/1/Achintha_Georgiou_paper%252005_07-2013.pdf
Mechanical behaviour of concrete beams reinforced with CFRP U-channels,2017-09-06,Mithila Achintha,https://eprints.soton.ac.uk/414879/1/ACIC2017_paper_46.pdf
Modelling residual stress in glass: Incorporation of the full stress field using a few stress measurements,2019-09-03,Mithila Achintha,https://eprints.soton.ac.uk/433907/1/Achintha.pdf
Glass–GFRP hybrids: from brittle glass to ductile and high strength structural glass,2018-03-30,Mithila Achintha,https://eprints.soton.ac.uk/421067/1/P101_CICE2018.pdf
Construction of full residual stress depth profile in glass using the knowledge of surface stress,2020-09-04,Mithila Achintha,https://eprints.soton.ac.uk/445581/1/PAPER_Achintha_paperCGC7_R1.pdf
Construction of full residual stress depth profile in glass using the knowledge of surface stress,2020-09-04,Mithila Achintha,https://eprints.soton.ac.uk/445581/2/PAPER_Achintha_paperCGC7_R1.pdf
Developments in GFRP reinforced bolted joints in glass,2018-05,Mithila Achintha,https://eprints.soton.ac.uk/421064/1/CG6_Paper_Achintha.pdf
A novel design concept for connections in glass: structural Integrity of glass reinforced with externally–bonded GFRP laminates,2017-04-19,Mithila Achintha,https://eprints.soton.ac.uk/408020/1/Achintha_and_Bessonov_0127_2017.docx
A 2.45 GHz rectenna screen-printed on polycotton for on-body RF power transfer and harvesting,2015,Salah-Eddine Adami,https://eprints.soton.ac.uk/377508/1/T3.1.pdf
Nanoscale electron-beam-driven metamaterial light sources,2011-01-20,G. Adamo,https://eprints.soton.ac.uk/340226/1/4857.pdf
Nanoscale metamaterial light source driven by electron beam,2011,G. Adamo,https://eprints.soton.ac.uk/343084/1/4911.pdf
Electron-beam-driven nanoscale metamaterials light sources,2011,G. Adamo,https://eprints.soton.ac.uk/341510/1/5049.pdf
Coherent light emission from planar plasmonic metamaterials,2012-05,G. Adamo,https://eprints.soton.ac.uk/379234/1/5279_1.pdf
Coherent light emission from planar plasmonic metamaterials,2012-05,G. Adamo,https://eprints.soton.ac.uk/379234/2/5279.pdf
Picophotonics: Visible invisible,2022-04-03,Giorgio Adamo,https://eprints.soton.ac.uk/455919/1/SPIE_PE2022_picophotonics.pdf
SARAH: strengthening and stretching for rheumatoid arthritis affecting the hand: a randomised controlled trial,2014-06-18,Jo Adams,https://eprints.soton.ac.uk/368427/1/WFOT%2520Sarah%2520finalJA.pptx
The Southampton York natural scenes (SYNS) dataset,2015,Wendy J. Adams,https://eprints.soton.ac.uk/389512/1/AdamsMuryyGrafLugtigheidElder2015.pdf
Digital preservation of audiovisual files within PrestoPRIME,2011-09-30,Matthew Addis,https://eprints.soton.ac.uk/273042/1/virtualgoods2011_submission_4.pdf
100 Million Hours of Audiovisual Content: Digital Preservation and Access in the PrestoPRIME Project,2010-03,Matthew Addis,https://eprints.soton.ac.uk/271071/1/AddisDPIF2010.pdf
Planning and managing the 'cost of compromise' for AV retention and access,2011-09-06,Matthew Addis,https://eprints.soton.ac.uk/273158/1/23158.pdf
New ways for policy makers to interact with citizens through open social network sites - a report on initial results,2010-03,Matthew Addis,https://eprints.soton.ac.uk/271073/1/AddisIPP2010PaperWeGov.pdf
Digital preservation strategies for AV content,2010-05,Matthew Addis,https://eprints.soton.ac.uk/271072/1/AddisIBC2010PaperID298.pdf
Does process reengineering and digitalization eliminate corruption? Examining ‘paperless’ vehicle clearance at Ghana’s port,2020-06-01,Atta Addo,https://eprints.soton.ac.uk/440952/1/ECIS2020.pdf
Characterization of ionic liquid multimode propellant operating in a porous glass electrospray thruster,2022-06-19,Anthony C. Adduci,https://eprints.soton.ac.uk/474372/1/IEPC_2022_submited.pdf
Prediction of Swirl Effects on Fan-OGV Interaction Tones,2022-06-13,Oluwaseun E Adetifa,https://eprints.soton.ac.uk/469593/1/Adetifa_etal_AIAA2022_pre_print_open_access.pdf
Knowledge discovery from social media data: a case of public twitter data for SMEs,2016-04-24,Christopher Adetunji,https://eprints.soton.ac.uk/393433/1/eKNOW2016_60034_final.pdf
Knowledge discovery from social media data: a case of public twitter data for SMEs,2016-04-24,Christopher Adetunji,https://eprints.soton.ac.uk/393433/2/eknow_2016_6_10_60034.pdf
SimMobility: a multiscale integrated agent-based simulation platform,2016-01,M. Adnan,https://eprints.soton.ac.uk/390938/1/view.aspx_id%253D1393000
RECENT trends in the land surface phenology of Africa observed at a fine spatial scale,2017,Tracy Adole,https://eprints.soton.ac.uk/421131/1/AM_RECENT_trends.pdf
RECENT trends in the land surface phenology of Africa observed at a fine spatial scale,2017,Tracy Adole,https://eprints.soton.ac.uk/421131/2/Adole_2017.pdf
The role of virtual learning environment in improving information and communication technology adoption in teaching,2012-04,Mohammed Ageel,https://eprints.soton.ac.uk/337599/1/Mohammed_Ageel.pdf
Enhancing university teachers’ information and communication technology usage by using a virtual learning environment training course,2012-03-05,Mohammed Ageel,https://eprints.soton.ac.uk/208077/1/AgeelWoollardValencia.pdf
Review of Higgs-to-light-Higgs searches at the LHC,2016-12,R. Aggleton,https://eprints.soton.ac.uk/413697/1/1703.08029v1
CMOS-compatible high index contrast ytterbium-doped tantalum pentoxide rib waveguide lasers,2015,A. Aghajani,https://eprints.soton.ac.uk/379379/1/6965.pdf
Ytterbium-doped tantalum pentoxide waveguides: spectroscopy for compact waveguide lasers,2013,A. Aghajani,https://eprints.soton.ac.uk/365582/1/__userfiles.soton.ac.uk_Users_nl2_mydesktop_Slabakova_ASSL_Ytterbium%2520doped%2520Tantalum%2520Pentoxide%2520spectroscopy.pdf
Ytterbium-doped tantalum pentoxide waveguide lasers,2014-06,A. Aghajani,https://eprints.soton.ac.uk/367598/1/__userfiles.soton.ac.uk_Users_nl2_mydesktop_Slabakova_ECIO-MOC%25202014%2520Ytterbium-Doped%2520Tantalum%2520Pentoxide%2520Waveguide%2520Lasers.pdf
Spectroscopy of high index contrast Yb:Ta<sub>2</sub>O<sub>5</sub> waveguides for lasing applications,2014,Armen Aghajani,https://eprints.soton.ac.uk/367590/1/6486.pdf
Electrically coupled MEMS oscillators,2011-05,Deepak Agrawal,https://eprints.soton.ac.uk/398797/1/%255B45%255D%2520IFCS%252011%2520Deepak.pdf
NGO accounting and accountability practices: the case of international development agencies in post-war Angola,2011-07-31,Dila Agrizzi,https://eprints.soton.ac.uk/194661/1/Agrizzi_and_Soobaroyen_Working_Paper_July_2011.pdf
A framework for evaluating the effectiveness of blended E-learning within universities,2013-03-25,Beatrice Aguti,https://eprints.soton.ac.uk/369972/1/Beatrice%2520Aguti%2520Society%2520for%2520Information%2520Technology%2520%2526%2520Teacher%2520Education%2520International%2520Conference%2520Paper_48392.pdf
An evaluation of the factors that impact on the effectiveness of blended e-learning within universities,2014-11,Beatrice Aguti,https://eprints.soton.ac.uk/369997/1/I_society%25202014%2520BAGUTI.pdf
On a shape adaptive image ray transform,2013,Oh Ah Reum,https://eprints.soton.ac.uk/363305/1/On%2520a%2520Shape%2520Adaptive%2520Image%2520Ray%2520Transform.pdf
Experimental and numerical study of trapping of cells on a waveguide,2011-05-22,Balpreet S. Ahluwalia,https://eprints.soton.ac.uk/341553/1/5571.pdf
A Modified Izhikevich Model For Circuit Implementation of Spiking Neural Networks,2010-02-26,Arash Ahmadi,https://eprints.soton.ac.uk/268512/1/Lascas2010_41.pdf
A new approach to model rocking motion of post-tensioned segmental columns,2020,Ehsan Ahmadi,https://eprints.soton.ac.uk/446416/1/E18998.pdf
Seismic performance of precast post-tensioned segmental columns using incremental dynamic analysis,2020-09-13,Ehsan Ahmadi,https://eprints.soton.ac.uk/446435/1/2d_0006.pdf
Holographically fabricated blazed gratings for out-of-plane coupling in integrated optics,2022-05-19,Qazi Ahmed,https://eprints.soton.ac.uk/457829/1/Cleo_Abstract.doc
The influence of forward speed and nonlinearities on the dynamic behaviour of a container ship in regular waves,2010-11-24,T.M. Ahmed,https://eprints.soton.ac.uk/169619/1/RinaPaperchapchapet_al_v4_PTpdf.pdf
Machine learning assisted point of care mid infrared spectroscopy for neonatal respiratory distress syndrome diagnosis,2021-06-14,Waseem Ahmed,https://eprints.soton.ac.uk/455687/1/SUSSPPres76_1_presented.pdf
Relay node selection and power allocation for distributed self-concatenated convolutional codes,2017-03-19,Haji Muhammad Furqan Ahmed Madni,https://eprints.soton.ac.uk/412575/1/sctcmid_exit_vtc_20_jan_Updated.pdf
Sonar equations for planets and moons,2015-07,Michael A. Ainslie,https://eprints.soton.ac.uk/399656/1/__soton.ac.uk_ude_PersonalFiles_Users_cc1n12_mydocuments_PROF%2520LEIGHTON_Article%2520pdfs_Ainslie%2520M%2520A%2520and%2520Leighton%2520T%2520G%2520%2520%25282015%2529%2520Sonar%2520equations%2520for%2520planets%2520and%2520moons.pdf
Span morphing using the GNAT spar for a mini-UAV: designing and testing,2014-10-07,R.M. Ajaj,https://eprints.soton.ac.uk/369691/1/Span%2520Morphing%2520using%2520the%2520GNAT%2520Spar%2520.pdf
Feasibility study of random fibre reinforced railway ballast using image-based deformation measurements,2015-01-09,O. Ajayi,https://eprints.soton.ac.uk/375091/1/Edinburgh_AJAYI.pdf
Effects of random fibre reinforcement on the density of granular materials,2014-09-01,O. Ajayi,https://eprints.soton.ac.uk/370249/1/AJAYI_Camb.pdf
Effects of random fibre reinforcement on the density of granular materials,2014-07-10,O. Ajayi,https://eprints.soton.ac.uk/375035/1/AJAYI_Camb.pdf
Feasibility study of random fibre reinforced railway ballast,2014-06-06,O. Ajayi,https://eprints.soton.ac.uk/364944/1/Femi_EYGEC2014.pdf
Feasibility study of random fibre reinforced railway ballast,2014-06-06,O. Ajayi,https://eprints.soton.ac.uk/364944/2/AJAYI_COOLING.pdf
The changing destination image of Turkey through the effect of Turkish television series,2015-09,Tugra Akarsu,https://eprints.soton.ac.uk/434638/1/Scan_27_Sep_2019.pdf
Re-awakening the senses: the importance of religiosity in experiential marketing,2017,Tugra Akarsu,https://eprints.soton.ac.uk/434353/1/FULLTEXT01.pdf
Brand sensuality and brand experience: How much does religion matter?,2016,Tugra Akarsu,https://eprints.soton.ac.uk/434726/1/Akarsu_TN_21st_International_CMC_Conference.pdf
Exposing data leakage in data integration systems,2014-11,Fatimah Y. Akeel,https://eprints.soton.ac.uk/375404/1/Paper-%2520Exposing%2520data%2520leakage%2520in%2520DIS.pdf
"SecureDIS: A Framework for Secure Data
Integration Systems",2013-12,Fatimah Y. Akeel,https://eprints.soton.ac.uk/369622/1/06750270.pdf
"An information security model for an IoT-enabled smart grid: In Proceedings of the 7th International Conference on Internet of Things, Big Data and Security - IoTBDS, 157-165, 2022",2022-04-22,Abeer Siraj A Akkad,https://eprints.soton.ac.uk/474339/1/An_Information_Security_Model_for_an_IoT_enabled_Smart_Grid.pdf
An information security model for an IoT-enabled smart grid in the Saudi energy sector,2022-12-14,Abeer Siraj A. Akkad,https://eprints.soton.ac.uk/474340/1/Abeer_Full_Paper_SASG2022_FINAL.docx
An information security model for an IoT-enabled smart grid in the Saudi energy sector,2022-12-14,Abeer Siraj A. Akkad,https://eprints.soton.ac.uk/474340/2/publish_acceptance1.jpg
An information security model for an IoT-enabled smart grid in the Saudi energy sector,2022-12-14,Abeer Siraj A. Akkad,https://eprints.soton.ac.uk/474340/3/publish_acceptance2.jpg
"An IoT-enabled Smart Grid: Definitions, Characteristics, Challenges, and Future Directions: Proceedings of the 3rd Summer School on Cyber-Physical Systems and Internet-of-Things, Vol. III, pp 56-157, 2022",2022-06-07,Abeer Siraj A. Akkad,https://eprints.soton.ac.uk/474342/1/An_IoT_enabled_Smart_Grid_Definitions_Characteristics_Challenges_and_Future_Directions.docx
"An IoT-enabled Smart Grid: Definitions, Characteristics, Challenges, and Future Directions: Proceedings of the 3rd Summer School on Cyber-Physical Systems and Internet-of-Things, Vol. III, pp 56-157, 2022",2022-06-07,Abeer Siraj A. Akkad,https://eprints.soton.ac.uk/474342/2/indexcodes.txt
monitoring and simulation of the vacuum infusion process,2013-07,Alper Aktas,https://eprints.soton.ac.uk/386676/1/AKTAS_ICCM19%2520%2528final_version%2529.pdf
Direct laser writing of graded-index SiGe waveguides via phase segregation,2021-03-05,Ozan Aktaş,https://eprints.soton.ac.uk/449141/1/ProcSPIE_OzanAktas_manuscript_V3.pdf
The shape of Arab feminism on Facebook,2018-05,Nada Al Bunni,https://eprints.soton.ac.uk/444784/1/shape_arab_feminism.pdf
Evaluation of asynchronous E-learning in the geography curriculum: enriching learning quality in Saudi high schools,2011-11,Hend Al Dobaikhi,https://eprints.soton.ac.uk/206677/1/EeL2011.pdf
An empirical investigation of spikes in agile software development,2020-11-06,Hussein Al Hashimi,https://eprints.soton.ac.uk/450760/1/An_Empirical_Investigation_of_Spikes_in_Agile_Software_Development.pdf
Spikes in agile software development: an empirical study,2021-06-16,Hussein Al Hashimi,https://eprints.soton.ac.uk/450762/1/Spikes_in_Agile_Software_Development_An_Empirical_Study.pdf
A critical review of the use of spikes in agile software development,2019,Hussein Al Hashimi,https://eprints.soton.ac.uk/441801/1/A_Critical_Review_of_the_Use_of_Spikes_in_Agile_Software_Development.pdf
Texture-based region tracking using Gaussian Markov random fields for cilia motion analysis,2019-09,Yasseen Hamad Al Makady,https://eprints.soton.ac.uk/433616/1/MyICIP2019_paper.pdf
COPD detection using three-dimensional Gaussian Markov random fields based on binary features,2020-05-16,"Yasseen, Hamad Al Makady",https://eprints.soton.ac.uk/441003/1/Yasseen_Accepted_ICIP2020_18May.pdf
An Arabic framework for dyslexia training tools,2013-02-18,Fadwa Al Rowais,https://eprints.soton.ac.uk/353261/1/An%2520Arabic%2520Framework%2520for%2520DyslexiaTraining%2520Tools%2520%2528Fadwa%2520AlRowais%2529.pdf
Uncertainty during new disease outbreaks in Wikipedia,2019-06-07,"Reham, Fares Fayez Al Tamime",https://eprints.soton.ac.uk/432906/1/Uncertainty_During_New_Disease_Outbreaks_inWikipedia.pdf
Observing burstiness in Wikipedia articles during new disease outbreaks,2018-05,"Reham, Fares Fayez Al Tamime",https://eprints.soton.ac.uk/419731/1/Observing_Burstiness_in_Wikipedia_Articles_CONFERENCE_PROCEEDING.pdf
Medical science in Wikipedia: the construction of scientific knowledge in open science projects,2016-08-17,"Reham, Fares Fayez Al Tamime",https://eprints.soton.ac.uk/412394/1/Medical_Science_in_Wikipedia.pdf
Match between a pre-service elementary mathematics pedagogy module and the content of elementary school mathematics,2013-11,Yahya Al Zahrani,https://eprints.soton.ac.uk/445808/1/AlZahrani_Jones_PME_NA_2013.pdf
Fabrication of Ge micro-disks on free-standing SiO<sub>2</sub> beams for monolithic light emission,2015-06-24,Abdelrahman Al-Attili,https://eprints.soton.ac.uk/382917/1/__userfiles.soton.ac.uk_Users_mw2_mydesktop_Abd_IEEEnano_eprints.pdf
Tensile strain of germanium micro-disks on freestanding SiO2 beams,2015-07-16,Abdelrahman Al-Attili,https://eprints.soton.ac.uk/383892/1/Tensilestrain-Gemicrodisks-AlAttili.pdf
Towards a model for monitoring public services projects in Saudi Arabia,2016-09-08,Khalied Al-Barrak,https://eprints.soton.ac.uk/403531/1/ECISM_Conference_Paper_Khalied_Albarrak_Monitoring_public_services_projects_in_SaudiArabia.pdf
Model-based database design,2016-09-09,Ahmed Al-Brashdi,https://eprints.soton.ac.uk/401499/1/Research_Abstract%2520%25281%2529.pdf
Tool support for model-based database design with Event-B,2016,Ahmed Al-Brashdi,https://eprints.soton.ac.uk/402252/1/Tool%2520Support%2520for%2520Model-Based%2520Database%2520Design%2520with%2520Event-B.pdf
Incremental database design using UML-B and Event-B,2018-05-12,"Ahmed, Zahran Nasser Al-Brashdi",https://eprints.soton.ac.uk/415795/1/Incremental_Database_Design_using_UML_B_and_Event_B.pdf
Visibility and potential of solar energy on horizontal surface at Kuwait Area,2011-09,F.Q. Al-Enezi,https://eprints.soton.ac.uk/336540/1/rp119_ICSGCE2011-118-NEU046.pdf
Gait Learning-Based Regenerative Model: a Level Set Approach,2010-08,Muayed Al-Huseiny,https://eprints.soton.ac.uk/270823/1/ICPR2010.pdf
http://dayta.me - A personal news + data recommender for your day,2011-10-24,Ali Al-Mahrubi,https://eprints.soton.ac.uk/335348/1/dayta.pdf
Crystallisation study of the Cu<sub>2</sub>ZnSnS<sub>4</sub> chalcogenide material for solar applications,2012-04,F. Al-Saab,https://eprints.soton.ac.uk/379306/1/5340.pdf
Crystallization study of the CuSbS<sub>2</sub> chalcogenide material for solar applications,2013-04,Feras Al-Saab,https://eprints.soton.ac.uk/368821/1/5771.pdf
"Investigating alternative materials for displacement Shelters, using north- west Syria as an example",2022-10-17,Lina Al-Saffar,https://eprints.soton.ac.uk/471025/1/MC2022_Alsaffar_Lina.pdf
An evaluation of window parameters effects on daylight and energy saving in residential building in Saudi Arabia: An integrated optimisation and sensitivity analysis,2022-10-17,Shima H. AlDhaheri,https://eprints.soton.ac.uk/471026/1/MC2022_Aldhaheri_Shima.pdf
The wheel of Sukr: a framework for gamifying diabetes self-management in Saudi Arabia,2015,Alaa AlMarshedi,https://eprints.soton.ac.uk/382912/1/1-s2.0-S1877050915025053-main.pdf
Gamification to improve adherence to diabetic treatment in Saudi Arabia,2014-11,Alaa AlMarshedi,https://eprints.soton.ac.uk/369695/1/AlaaAlMarshedi_EHealthcare.pdf
SGI: a framework for increasing the sustainability of gamification impact,2015-03,Alaa AlMarshedi,https://eprints.soton.ac.uk/382911/1/A%2520Framework%2520for%2520Increasing%2520the%2520Sustainability%2520of%2520Gamification%2520Impact.pdf
