title,date,author_for_reference,pdf_url
"CFD code comparison, verification and validation for a FOWT semi-submersible floater (OC4 Phase II)",2021-06-03,Pranav Chandramouli,https://eprints.soton.ac.uk/455168/1/MARINE2021_OC4_TUDelft_WavEC.pdf.pdf
Investigating the impact of thermal history on indoor environmental preferences in a modern halls of residence complex,2016-04,RUCHA AMIN,https://eprints.soton.ac.uk/392669/1/WC16_066_Amin.pdf
Preventing Document Leakage through Active Document,2014-12-08,Zeyad Aaber,https://eprints.soton.ac.uk/372705/1/WorldCIS-Finalaised.pdf
Towards a Framework for Securing a Document Outside an Organisational Firewall,2015-02-12,Zeyad Aaber,https://eprints.soton.ac.uk/374521/1/cloud_computing.pdf
Efficient Computation of the Shapley Value for Centrality in Networks,2010-10-05,Karthik V. Aadithya,https://eprints.soton.ac.uk/271617/1/Shapley_network_final_short12p.pdf
Efficient Computation of the Shapley Value for Centrality in Networks,2010-10-05,Karthik V. Aadithya,https://eprints.soton.ac.uk/271617/2/fulltext2.pdf
Preliminary design of a test rig for combining passive nonlinear isolation with active control,2012-06-20,M. Ab Rahim,https://eprints.soton.ac.uk/352698/1/__userfiles.soton.ac.uk_Users_nl2_mydesktop_EACS_Muhajir.pdf
Asphalt/ballast trackbeds for improved clearance beneath historical bridges for electrification works,2021-08-05,Taufan Abadi,https://eprints.soton.ac.uk/449863/1/ICTG2020_024_v2.pdf
Ship motion measurement using an inertial measurement unit,2015,Nana Okra Abankwa,https://eprints.soton.ac.uk/384879/1/PID3977455.pdf
Evaluation of the Delany-Bazley-Miki model for the calculation of the  sound absorption coefficient of aerogel granules,2021-08-15,Yama Abawi,https://eprints.soton.ac.uk/456768/1/abawi_et_al_2021_evaluation_of_the_delany_bazley_miki_model_for_the_calculation_of_the_sound.pdf
Application of the Johnson-Champoux-Allard model for the calculation of the sound absorption coefficient of aerogel granules based on inverse characterization for the determination of the granules parameters,2020,Yama Abawi,https://eprints.soton.ac.uk/468173/1/abawi_et_al_2020_application_of_the_johnson_champoux_allard_model_for_the_calculation_of_the.pdf
"The Impact of Organization, Project and Governance Variables on Software Quality and Project Success",2010-08,Noura Abbas,https://eprints.soton.ac.uk/271290/1/agile03.doc
"The Impact of Organization, Project and Governance Variables on Software Quality and Project Success",2010-08,Noura Abbas,https://eprints.soton.ac.uk/271290/2/Governance_Survey_Analysis.pdf
Using Factor Analysis to Generate Clusters of Agile Practices,2010-08,Noura Abbas,https://eprints.soton.ac.uk/271291/1/agile01-r.doc
Using Factor Analysis to Generate Clusters of Agile Practices,2010-08,Noura Abbas,https://eprints.soton.ac.uk/271291/2/Clusters_of_Agile_Practices_.pdf
Direct laser synthesis of two-dimensional transition metal dichalcogenides,2019-10-17,Omar Adnan Abbas,https://eprints.soton.ac.uk/433676/1/Direct_Laser_Synthesis_of_Two_Dimensional_Transition_Metal_Dichalcogenides.pdf
An embedded environmental control micro-chamber system for RRAM memristor characterisation,2018-05-04,Thomas Abbey,https://eprints.soton.ac.uk/421141/1/Embedded_An_Embedded_Environmental_Control_Micro_chamber.pdf
Embedding quality in e-learning systems; a route to “classless learning”,2010-03,Tamer Abd El-Gawad,https://eprints.soton.ac.uk/143603/1/INSPIRE2010.zip
Partial Discharge Location within a Transformer Winding using Principal Component Analysis,2011-08-22,M S Abd Rahman,https://eprints.soton.ac.uk/272708/1/D-006-ABD-F.pdf
Partial Discharge Simulation for a High Voltage Transformer Winding using a Model based on Geometrical Dimensions,2012-01-18,M S Abd Rahman,https://eprints.soton.ac.uk/273132/1/SafwanPoster.pdf
Partial Discharge Simulation for a High Voltage Transformer Winding using a Model based on Geometrical Dimensions,2012-01-18,M S Abd Rahman,https://eprints.soton.ac.uk/273132/2/M.S.%2520Abd%2520Rahman_University_Southampton_UHVnet2012-abstract.pdf
The use of three dimensional filters for on-line partial discharge localisation in large transformers,2014-06-08,M S Abd Rahman,https://eprints.soton.ac.uk/366607/1/003.pdf
The Study of the Effect in Variation of A.C. Applied Voltage to the Partial Discharge Localization inside Transformer Windings,2013-10-20,M S Abd Rahman,https://eprints.soton.ac.uk/360876/1/SPR_B16_R2613121918581.pdf
Construction of Finite Impulse Wavelet Filter for Partial Discharge Localisation inside a Transformer Winding,2013-06-02,M S Abd Rahman,https://eprints.soton.ac.uk/353264/1/007.pdf
The Study of Partial Discharge Propagation Signal Limitation for Localisation Method inside a High Voltage Transformer Winding,2013-04,M S Abd Rahman,https://eprints.soton.ac.uk/352385/1/Final_Abstract_Dielectric_Reading.pdf
The Study of Partial Discharge Propagation Signal Limitation for Localisation Method inside a High Voltage Transformer Winding,2013-04,M S Abd Rahman,https://eprints.soton.ac.uk/352385/2/Final_Dielectrics_presentation.pdf
Comparative study of partial discharge localisation techniques within transformer windings,2015-06-07,M.S. Abd Rahman,https://eprints.soton.ac.uk/378049/1/0538-000029.pdf
Partial discharge propagation inside a high voltage transformer winding: comparison of measurement and simulation,2012-10-14,M.S. Abd Rahman,https://eprints.soton.ac.uk/344279/1/011.pdf
UV and IR light generation in silica-based optical fibre tapers,2013,M.I.M. Abdul Khudus,https://eprints.soton.ac.uk/363240/1/6047.pdf
Four-wave-mixing enhancement in optical microfibers,2016-03-24,Muhammad Abdul Khudus,https://eprints.soton.ac.uk/382877/1/Four%2520Wave%2520Mixing%2520Enchancement%2520Microfibers%2520Muhammad%2520Abdul%2520Khudus%2520OFC16.pdf
Directors’ pay: significance as a tax-motivated expense allocation,2011,Nor Shaipah Abdul Wahab,https://eprints.soton.ac.uk/333524/1/218-2nd%2520ICBER%25202011%2520PG%25201001-1012%2520Directors%2520Pay.pdf
Geometrical shape influence on energy harvesting performance of oscillating airfoil,2016-07-07,Sarah Abdullah Sani,https://eprints.soton.ac.uk/399843/1/Conference%2520Paper_SDC2016.pdf
A practical technique for gait recognition on curved and straight trajectories,2016-06-13,Fatimah Abdulsattar,https://eprints.soton.ac.uk/400692/1/A%2520Practical%2520Technique%2520for%2520Gait%2520Recognition%2520on%2520Curved%2520and%2520Straight%2520Trajectories.pdf
Performance analysis of gait recognition with large perspective distortion,2016-03-01,Fatimah Shamsulddin Abdulsattar,https://eprints.soton.ac.uk/389750/1/PID4042069.pdf
Efficient local search heuristics for packing irregular shapes in two-dimensional heterogeneous bins,2017-10,"Ranga, Prasad Abeysooriya",https://eprints.soton.ac.uk/415314/1/ICCL17_paper_43.pdf
The multimodal edge of human aerobotic interaction,2016-07-02,Ayodeji Abioye,https://eprints.soton.ac.uk/397720/1/The%2520Multimodal%2520Edge%2520of%2520Human%2520Aerobotic%2520Interaction.pdf
"The multimodal speech and visual gesture (mSVG) control model for a practical patrol, search, and rescue aerobot",2018-07-21,"Ayodeji, Opeyemi Abioye",https://eprints.soton.ac.uk/418869/1/taros_paper_draft10.pdf
"The multimodal speech and visual gesture (mSVG) control model for a practical patrol, search, and rescue aerobot",2018-07-21,"Ayodeji, Opeyemi Abioye",https://eprints.soton.ac.uk/418869/2/taros_paper_draft12.pdf
"The multimodal speech and visual gesture (mSVG) control model for a practical patrol, search, and rescue aerobot",2018-07-21,"Ayodeji, Opeyemi Abioye",https://eprints.soton.ac.uk/418869/3/Abioye2018_Chapter_TheMultimodalSpeechAndVisualGe.pdf
Quantifying the effects of varying light-visibility and noise-sound levels in practical multimodal speech and visual gesture (mSVG) interaction with aerobots,2018-06-25,"Ayodeji, Opeyemi Abioye",https://eprints.soton.ac.uk/418871/1/Full_Paper_IEEE_ICASI_2018_draft_6_.pdf
Quantifying the effects of varying light-visibility and noise-sound levels in practical multimodal speech and visual gesture (mSVG) interaction with aerobots,2018-06-25,"Ayodeji, Opeyemi Abioye",https://eprints.soton.ac.uk/418871/2/08394395.pdf
Coherent control of birefringence and optical activity,2014-06-13,S.M. Abokhamis Mousavi,https://eprints.soton.ac.uk/366388/1/6235.pdf
"Exploring nonlinear pulse propagation, Raman frequency conversion and near octave spanning supercontinuum generation in atmospheric air-filled hollow-core Kagomé fiber",2017-02-20,Seyed Mohammad Abokhamis Mousavi,https://eprints.soton.ac.uk/413372/1/Final_SPIE_PW_2016_2.pdf
"Exploring nonlinear pulse propagation, Raman frequency conversion and near octave spanning supercontinuum generation in atmospheric air-filled hollow-core Kagomé fiber",2017-02-20,Seyed Mohammad Abokhamis Mousavi,https://eprints.soton.ac.uk/413372/2/Final_SPIE_PW_2016_2.pdf
First design of high birefringence and polarising hollow core anti-resonant fibre,2015,Seyed Mohammad Abokhamis Mousavi,https://eprints.soton.ac.uk/382622/1/final%2520ECOC%2520seyedmohammad%2520abokhamis%2520mousavi.pdf
On the performance of a nonlinear vibration isolator consisting of axially loaded curved beams,2013-07-02,Ali Abolfathi,https://eprints.soton.ac.uk/355505/1/1034_AAA.pdf
