title,date,author_for_reference,pdf_url
The role of social justice theory in education studies,2023-05-09,J Hatley,https://researchspace.bathspa.ac.uk/14898/1/14898.pdf
The role of social justice theory in education studies,2023-05-09,J Hatley,https://researchspace.bathspa.ac.uk/14898/6/indexcodes.txt
The role of social justice theory in education studies,2023-05-09,J Hatley,https://researchspace.bathspa.ac.uk/14898/7/lightbox.jpg
The role of social justice theory in education studies,2023-05-09,J Hatley,https://researchspace.bathspa.ac.uk/14898/8/preview.jpg
The role of social justice theory in education studies,2023-05-09,J Hatley,https://researchspace.bathspa.ac.uk/14898/9/medium.jpg
The role of social justice theory in education studies,2023-05-09,J Hatley,https://researchspace.bathspa.ac.uk/14898/10/small.jpg
Contingent scaffolding: analysis of teacher utterances and group success in collaborative mathematics tasks using multi-touch tables,2023-05,A Joyce-Gibbons,https://researchspace.bathspa.ac.uk/15340/1/15340.docx
Contingent scaffolding: analysis of teacher utterances and group success in collaborative mathematics tasks using multi-touch tables,2023-05,A Joyce-Gibbons,https://researchspace.bathspa.ac.uk/15340/2/indexcodes.txt
Walking-creating for fostering teachers’ education in peripheral coastal communities,2023-04-17,A Parfitt,https://researchspace.bathspa.ac.uk/15335/1/15335.pdf
Walking-creating for fostering teachers’ education in peripheral coastal communities,2023-04-17,A Parfitt,https://researchspace.bathspa.ac.uk/15335/2/lightbox.jpg
Walking-creating for fostering teachers’ education in peripheral coastal communities,2023-04-17,A Parfitt,https://researchspace.bathspa.ac.uk/15335/3/preview.jpg
Walking-creating for fostering teachers’ education in peripheral coastal communities,2023-04-17,A Parfitt,https://researchspace.bathspa.ac.uk/15335/4/medium.jpg
Walking-creating for fostering teachers’ education in peripheral coastal communities,2023-04-17,A Parfitt,https://researchspace.bathspa.ac.uk/15335/5/small.jpg
Walking-creating for fostering teachers’ education in peripheral coastal communities,2023-04-17,A Parfitt,https://researchspace.bathspa.ac.uk/15335/6/indexcodes.txt
An interdisciplinary realist take on moral agency,2023-04-11,L Li,https://researchspace.bathspa.ac.uk/15288/1/15288.pdf
An interdisciplinary realist take on moral agency,2023-04-11,L Li,https://researchspace.bathspa.ac.uk/15288/2/lightbox.jpg
An interdisciplinary realist take on moral agency,2023-04-11,L Li,https://researchspace.bathspa.ac.uk/15288/3/preview.jpg
